local_authority_name,count_date,all_motor_vehicles
Kirklees,06/07/2000,66
Kirklees,06/07/2000,90
Kirklees,06/07/2000,38
Kirklees,06/07/2000,32
Kirklees,06/07/2000,27
Kirklees,06/07/2000,36
Kirklees,06/07/2000,32
Kirklees,06/07/2000,21
Kirklees,06/07/2000,42
Kirklees,06/07/2000,35
Kirklees,06/07/2000,52
Kirklees,06/07/2000,41
Kirklees,15/05/2000,23
Kirklees,15/05/2000,20
Kirklees,15/05/2000,21
Kirklees,15/05/2000,18
Kirklees,15/05/2000,23
Kirklees,15/05/2000,23
Kirklees,15/05/2000,23
Kirklees,15/05/2000,22
Kirklees,15/05/2000,20
Kirklees,15/05/2000,11
Kirklees,15/05/2000,17
Kirklees,15/05/2000,19
Kirklees,15/05/2000,10
Kirklees,15/05/2000,18
Kirklees,15/05/2000,16
Kirklees,15/05/2000,21
Kirklees,15/05/2000,11
Kirklees,15/05/2000,18
Kirklees,15/05/2000,14
Kirklees,15/05/2000,16
Kirklees,15/05/2000,19
Kirklees,15/05/2000,5
Kirklees,15/05/2000,14
Kirklees,15/05/2000,15
Kirklees,08/05/2000,478
Kirklees,08/05/2000,528
Kirklees,08/05/2000,322
Kirklees,08/05/2000,196
Kirklees,08/05/2000,211
Kirklees,08/05/2000,195
Kirklees,08/05/2000,218
Kirklees,08/05/2000,198
Kirklees,08/05/2000,236
Kirklees,08/05/2000,215
Kirklees,08/05/2000,225
Kirklees,08/05/2000,209
Kirklees,08/05/2000,97
Kirklees,08/05/2000,145
Kirklees,08/05/2000,174
Kirklees,08/05/2000,178
Kirklees,08/05/2000,183
Kirklees,08/05/2000,215
Kirklees,08/05/2000,158
Kirklees,08/05/2000,207
Kirklees,08/05/2000,276
Kirklees,08/05/2000,270
Kirklees,08/05/2000,355
Kirklees,08/05/2000,303
Kirklees,09/06/2000,62
Kirklees,09/06/2000,77
Kirklees,09/06/2000,67
Kirklees,09/06/2000,88
Kirklees,09/06/2000,86
Kirklees,09/06/2000,82
Kirklees,09/06/2000,88
Kirklees,09/06/2000,55
Kirklees,09/06/2000,81
Kirklees,09/06/2000,60
Kirklees,09/06/2000,60
Kirklees,09/06/2000,66
Kirklees,09/06/2000,76
Kirklees,09/06/2000,66
Kirklees,09/06/2000,65
Kirklees,09/06/2000,90
Kirklees,09/06/2000,117
Kirklees,09/06/2000,131
Kirklees,09/06/2000,86
Kirklees,09/06/2000,114
Kirklees,09/06/2000,154
Kirklees,09/06/2000,82
Kirklees,09/06/2000,81
Kirklees,09/06/2000,62
Kirklees,05/10/2000,51
Kirklees,05/10/2000,103
Kirklees,05/10/2000,103
Kirklees,05/10/2000,134
Kirklees,05/10/2000,195
Kirklees,05/10/2000,133
Kirklees,05/10/2000,133
Kirklees,05/10/2000,179
Kirklees,05/10/2000,62
Kirklees,05/10/2000,38
Kirklees,05/10/2000,49
Kirklees,05/10/2000,63
Kirklees,05/10/2000,62
Kirklees,05/10/2000,47
Kirklees,05/10/2000,91
Kirklees,05/10/2000,65
Kirklees,05/10/2000,123
Kirklees,05/10/2000,112
Kirklees,05/10/2000,41
Kirklees,05/10/2000,73
Kirklees,05/10/2000,59
Kirklees,05/10/2000,39
Kirklees,05/10/2000,59
Kirklees,05/10/2000,77
Kirklees,16/06/2000,133
Kirklees,16/06/2000,120
Kirklees,16/06/2000,91
Kirklees,16/06/2000,69
Kirklees,16/06/2000,98
Kirklees,16/06/2000,108
Kirklees,16/06/2000,82
Kirklees,16/06/2000,72
Kirklees,16/06/2000,80
Kirklees,16/06/2000,86
Kirklees,16/06/2000,89
Kirklees,16/06/2000,107
Kirklees,16/06/2000,113
Kirklees,16/06/2000,128
Kirklees,16/06/2000,136
Kirklees,16/06/2000,89
Kirklees,16/06/2000,104
Kirklees,16/06/2000,139
Kirklees,16/06/2000,60
Kirklees,16/06/2000,63
Kirklees,16/06/2000,79
Kirklees,16/06/2000,70
Kirklees,16/06/2000,78
Kirklees,16/06/2000,97
Kirklees,22/05/2000,165
Kirklees,22/05/2000,108
Kirklees,22/05/2000,63
Kirklees,22/05/2000,134
Kirklees,22/05/2000,101
Kirklees,22/05/2000,81
Kirklees,22/05/2000,75
Kirklees,22/05/2000,67
Kirklees,22/05/2000,99
Kirklees,22/05/2000,81
Kirklees,22/05/2000,100
Kirklees,22/05/2000,103
Kirklees,22/05/2000,117
Kirklees,22/05/2000,104
Kirklees,22/05/2000,82
Kirklees,22/05/2000,114
Kirklees,22/05/2000,73
Kirklees,22/05/2000,78
Kirklees,22/05/2000,88
Kirklees,22/05/2000,87
Kirklees,22/05/2000,94
Kirklees,22/05/2000,94
Kirklees,22/05/2000,129
Kirklees,22/05/2000,134
Kirklees,11/10/2000,137
Kirklees,11/10/2000,240
Kirklees,11/10/2000,149
Kirklees,11/10/2000,120
Kirklees,11/10/2000,132
Kirklees,11/10/2000,140
Kirklees,11/10/2000,149
Kirklees,11/10/2000,158
Kirklees,11/10/2000,184
Kirklees,11/10/2000,217
Kirklees,11/10/2000,215
Kirklees,11/10/2000,158
Kirklees,11/10/2000,223
Kirklees,11/10/2000,286
Kirklees,11/10/2000,185
Kirklees,11/10/2000,170
Kirklees,11/10/2000,194
Kirklees,11/10/2000,172
Kirklees,11/10/2000,184
Kirklees,11/10/2000,177
Kirklees,11/10/2000,242
Kirklees,11/10/2000,224
Kirklees,11/10/2000,258
Kirklees,11/10/2000,265
Kirklees,23/06/2000,58
Kirklees,23/06/2000,120
Kirklees,23/06/2000,95
Kirklees,23/06/2000,79
Kirklees,23/06/2000,110
Kirklees,23/06/2000,88
Kirklees,23/06/2000,88
Kirklees,23/06/2000,98
Kirklees,23/06/2000,166
Kirklees,23/06/2000,173
Kirklees,23/06/2000,172
Kirklees,23/06/2000,115
Kirklees,23/06/2000,152
Kirklees,23/06/2000,271
Kirklees,23/06/2000,180
Kirklees,23/06/2000,152
Kirklees,23/06/2000,170
Kirklees,23/06/2000,158
Kirklees,23/06/2000,203
Kirklees,23/06/2000,209
Kirklees,23/06/2000,219
Kirklees,23/06/2000,226
Kirklees,23/06/2000,234
Kirklees,23/06/2000,177
Kirklees,27/09/2000,24
Kirklees,27/09/2000,24
